bioguide,name,last,first,state,party,house_end,n_house_terms
C001086,"Cravaack, Chip",cravaack,chip,MN,R,2013-01-03,1
H001054,"Hayworth, Nan",hayworth,nan,NY,R,2013-01-03,1
L000574,"Landry, Jeff",landry,jeff,LA,R,2013-01-03,1
Q000024,"Quayle, Ben",quayle,ben,AZ,R,2013-01-03,1
R000590,"Rivera, David",rivera,david,FL,R,2013-01-03,1
S001182,"Schilling, Robert",schilling,robert,IL,R,2013-01-03,1
W000811,"Walsh, Joe",walsh,joe,IL,R,2013-01-03,1
W000807,"West, Allen",west,allen,FL,R,2013-01-03,1
H001062,"Hochul, Kathleen",hochul,kathleen,NY,D,2013-01-03,1
T000471,"Turner, Robert",turner,robert,NY,R,2013-01-03,1
C001089,"Curson, David",curson,david,MI,D,2013-01-03,1
R000596,"Radel, Trey",radel,trey,FL,R,2014-01-27,1
N000187,"Negrete McLeod, Gloria",negrete mcleod,gloria,CA,D,2015-01-03,1
G000573,"Garcia, Joe",garcia,joe,FL,D,2015-01-03,1
E000292,"Enyart, William",enyart,william,IL,D,2015-01-03,1
B001280,"Bentivolio, Kerry",bentivolio,kerry,MI,R,2015-01-03,1
G000572,"Gallego, Pete",gallego,pete,TX,D,2015-01-03,1
M001192,"McAllister, Vance",mcallister,vance,LA,R,2015-01-03,1
T000473,"Takai, Mark",takai,mark,HI,D,2016-07-20,1
