bioguide,icpsr,last,first,state,party,chamber
C001118,21908,cline,ben,VA,R,House
S001216,21962,schrier,kim,WA,D,House
S001213,21970,steil,bryan,WI,R,House
M001205,21946,miller,carol,WV,R,House
S001217,41903,scott,rick,FL,R,Senate
H001089,41901,hawley,joshua,MO,R,Senate
G000592,21923,golden,jared,ME,D,House
M001210,21987,murphy,gregory,NC,R,House
M000687,15433,mfume,kweisi,MD,D,House
T000165,,tiffany,thomas,WI,R,House
K000377,,kelly,mark,AZ,D,Senate
L000571,20953,lummis,cynthia,WY,R,Senate
I000056,20107,issa,darrell,CA,R,House
S000250,29759,sessions,pete,TX,R,House
V000129,21307,valadao,david,CA,R,House
T000278,,tuberville,tommy,AL,R,Senate
H000273,,hickenlooper,john,CO,D,Senate
H000601,,hagerty,bill,TN,R,Senate
M001212,,moore,barry,AL,R,House
O000019,,obernolte,jay,CA,R,House
K000397,,kim,young,CA,R,House
J000305,,jacobs,sara,CA,D,House
B000825,,boebert,lauren,CO,R,House
C001039,,cammack,katherine,FL,R,House
F000472,,franklin,c.,FL,R,House
D000032,,donalds,byron,FL,R,House
G000593,,gimenez,carlos,FL,R,House
S000168,,salazar,maria,FL,R,House
W000788,,williams,nikema,GA,D,House
C001116,,clyde,andrew,GA,R,House
H001091,,hinson,ashley,IA,R,House
M001215,,miller-meeks,mariannette,IA,R,House
F000446,,feenstra,randy,IA,R,House
M001211,,miller,mary,IL,R,House
M001214,,mrvan,frank,IN,D,House
S000929,,spartz,victoria,IN,R,House
M000871,,mann,tracey,KS,R,House
A000148,,auchincloss,jake,MA,D,House
M001136,,mcclain,lisa,MI,R,House
F000470,,fischbach,michelle,MN,R,House
R000305,,ross,deborah,NC,D,House
L000273,,leger fernandez,teresa,NM,D,House
G000597,,garbarino,andrew,NY,R,House
M000317,,malliotakis,nicole,NY,R,House
T000486,,torres,ritchie,NY,D,House
B000740,,bice,stephanie,OK,R,House
B000668,,bentz,cliff,OR,R,House
M000194,,mace,nancy,SC,R,House
H001086,,harshbarger,diana,TN,R,House
F000246,,fallon,patrick,TX,R,House
P000048,,pfluger,august,TX,R,House
J000304,,jackson,ronny,TX,R,House
N000026,,nehls,troy,TX,R,House
V000134,,van duyne,beth,TX,R,House
M001213,,moore,blake,UT,R,House
O000086,,owens,clarence,UT,R,House
S001159,,strickland,marilyn,WA,D,House
F000471,,fitzgerald,scott,WI,R,House
P000145,,padilla,alejandro,CA,D,Senate
O000174,,ossoff,jon,GA,D,Senate
W000790,,warnock,raphael,GA,D,Senate
T000478,21749,tenney,claudia,NY,R,House
L000595,,letlow,julia,LA,R,House
C001125,,carter,troy,LA,D,House
S001218,,stansbury,melanie,NM,D,House
E000071,,ellzey,jake,TX,R,House
B001313,,brown,shontel,OH,D,House
C001126,,carey,mike,OH,R,House
F000474,,flood,mike,NE,R,House
F000475,,finstad,brad,MN,R,House
R000579,,ryan,patrick,NY,D,House
Y000067,,yakym,rudy,IN,R,House
Z000018,,zinke,ryan,MT,R,House
B001319,,britt,katie,AL,R,Senate
S001227,,schmitt,eric,MO,R,Senate
F000479,,fetterman,john,PA,D,Senate
S001220,,strong,dale,AL,R,House
C001132,,crane,eli,AZ,R,House
C001133,,ciscomani,juan,AZ,R,House
K000401,,kiley,kevin,CA,O,House
M001225,,mullin,kevin,CA,D,House
K000400,,kamlager-dove,sydney,CA,D,House
G000598,,garcia,robert,CA,D,House
P000620,,pettersen,brittany,CO,D,House
B001314,,bean,aaron,FL,R,House
M001216,,mills,cory,FL,R,House
F000476,,frost,maxwell,FL,D,House
L000596,,luna,anna,FL,R,House
L000597,,lee,laurel,FL,R,House
M001217,,moskowitz,jared,FL,D,House
M001218,,mccormick,rich,GA,R,House
C001129,,collins,mike,GA,R,House
M001219,,moylan,james (jim),GU,R,House
T000487,,tokuda,jill,HI,D,House
N000193,,nunn,zachary (zach),IA,R,House
J000309,,jackson,jonathan,IL,D,House
R000617,,ramirez,delia,IL,D,House
B001315,,budzinski,nicole (nikki),IL,D,House
S001225,,sorensen,eric,IL,D,House
H001093,,houchin,erin,IN,R,House
M001220,,mcgarvey,morgan,KY,D,House
I000058,,ivey,glenn,MD,D,House
S001221,,scholten,hillary,MI,D,House
J000307,,james,john,MI,R,House
T000488,,thanedar,shri,MI,D,House
A000379,,alford,mark,MO,R,House
B001316,,burlison,eric,MO,R,House
E000235,,ezell,mike,MS,R,House
D000230,,davis,donald,NC,D,House
F000477,,foushee,valerie,NC,D,House
E000246,,edwards,charles (chuck),NC,R,House
K000398,,kean,thomas,NJ,R,House
M001226,,menendez,robert,NJ,D,House
V000136,,vasquez,gabriel (gabe),NM,D,House
L000598,,lalota,nicolas,NY,R,House
G000599,,goldman,dan,NY,D,House
L000599,,lawler,michael,NY,R,House
L000600,,langworthy,nicholas,NY,R,House
L000601,,landsman,greg,OH,D,House
M001222,,miller,max,OH,R,House
S001223,,sykes,emilia,OH,D,House
B001317,,brecheen,josh,OK,R,House
H001094,,hoyle,valerie,OR,D,House
S001226,,salinas,andrea,OR,D,House
L000602,,lee,summer,PA,D,House
D000530,,deluzio,chris,PA,D,House
M001223,,magaziner,seth,RI,D,House
F000478,,fry,russell,SC,R,House
O000175,,ogles,andrew,TN,R,House
M001224,,moran,nathaniel,TX,R,House
S001224,,self,keith,TX,R,House
L000603,,luttrell,morgan,TX,R,House
